~,Stage,BattleTime,MinimumCost,MaximumCost,RewardRate
,$int,float,int,int,int
,1,30,1,5,2
,2,30,1,5,2
,3,30,1,5,2
,4,30,1,5,2
,5,30,2,15,3
,6,30,2,5,2
,7,30,2,5,2
,8,30,2,5,2
,9,30,2,5,2
,10,30,2,20,4
,11,35,4,10,3
,12,35,4,10,3
,13,35,4,10,3
,14,35,4,10,3
,15,35,4,30,5
,16,35,8,10,3
,17,35,8,10,3
,18,35,8,10,3
,19,35,8,10,3
,20,35,8,40,6
,21,40,16,15,4
,22,40,16,15,4
,23,40,16,15,4
,24,40,16,15,4
,25,40,16,45,7
,26,40,32,15,5
,27,40,32,15,5
,28,40,32,15,5
,29,40,32,15,5
,30,40,32,100,8
,31,45,64,100,6
,32,45,64,100,6
,33,45,64,100,6
,34,45,64,100,6
,35,45,64,500,10
,36,45,128,1000,7
,37,45,128,1000,7
,38,45,128,1000,7
,39,45,128,1000,7
,40,45,128,10000,20